NAME,RA,DEC,RADIUS
NGC2841_Center,9:22:02.6779,+50:58:35.7371,240
NGC2841_E_1,9:23:34.9701,+50:36:00.3534,240
NGC2841_E_2,9:23:19.9697,+50:39:42.4468,240
NGC2841_E_3,9:23:04.9298,+50:43:24.4196,240
NGC2841_E_4,9:22:49.8502,+50:47:06.2711,240
NGC2841_E_5,9:22:34.7309,+50:50:48.0007,240
NGC2841_E_6,9:22:19.5716,+50:54:29.608,240
NGC2841_W_1,9:20:28.8794,+51:21:06.5015,240
NGC2841_W_2,9:20:44.3325,+51:17:25.7962,240
NGC2841_W_3,9:20:59.7443,+51:13:44.9641,240
NGC2841_W_4,9:21:15.1151,+51:10:04.0059,240
NGC2841_W_5,9:21:30.4451,+51:06:22.9222,240
NGC2841_W_6,9:21:45.7344,+51:02:41.7134,240
NGC2841_N_1,9:24:26.6998,+51:13:08.9371,240
NGC2841_N_2,9:24:03.0299,+51:10:46.8127,240
NGC2841_N_3,9:23:39.4005,+51:08:24.3903,240
NGC2841_N_4,9:23:15.8116,+51:06:01.6708,240
NGC2841_N_5,9:22:52.2631,+51:03:38.6552,240
NGC2841_N_6,9:22:28.7551,+51:01:15.3444,240
NGC2841_S_1,9:19:40.162,+50:43:51.5846,240
NGC2841_S_2,9:20:03.3794,+50:46:17.0002,240
NGC2841_S_3,9:20:26.6369,+50:48:42.1272,240
NGC2841_S_4,9:20:49.9346,+50:51:06.9647,240
NGC2841_S_5,9:21:13.2724,+50:53:31.5118,240
NGC2841_S_6,9:21:36.6504,+50:55:55.7676,240
